seeding_regime,step,mean,lo95,hi95
burst,37,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,38,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,39,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,40,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,41,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,42,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,43,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,44,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,45,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,46,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,47,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,48,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,49,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,50,0.03514949854110628,0.03449544366006449,0.03580355342214807
continuous,1,0.000860385084619263,0.0008404789058715561,0.0008802912633669698
continuous,2,0.0017177162970144664,0.00168129799716517,0.0017541345968637627
continuous,3,0.0025601571708472005,0.0025077321415524064,0.0026125822001419946
continuous,4,0.003388374213438028,0.0033202262857329177,0.0034565221411431385
continuous,5,0.004209555224345377,0.0041257867580248965,0.004293323690665857
continuous,6,0.0050204781957171405,0.004921334327681878,0.005119622063752403
continuous,7,0.005821593085439114,0.005707305221132774,0.005935880949745454
continuous,8,0.006619307167580241,0.006489898339518985,0.006748715995641497
continuous,9,0.007407454326344958,0.0072632722478907985,0.007551636404799117
continuous,10,0.008186162618203952,0.008027154546039259,0.008345170690368645
continuous,11,0.008962542690094617,0.008788697734000555,0.00913638764618868
continuous,12,0.009721498755428597,0.009533746372275609,0.009909251138581585
continuous,13,0.010480380001750823,0.010278735464970736,0.01068202453853091
continuous,14,0.011235034087563387,0.011019460438551225,0.011450607736575549
continuous,15,0.011983174884299652,0.011753560854311045,0.012212788914288258
continuous,16,0.012730711238823704,0.012487070859837064,0.012974351617810345
continuous,17,0.013458697017752107,0.013201415501064752,0.013715978534439463
continuous,18,0.014197973941599764,0.01392665674922176,0.014469291133977769
continuous,19,0.014914520263827669,0.014630039054919674,0.015199001472735663
continuous,20,0.01563284417487578,0.01533515219033529,0.01593053615941627
continuous,21,0.016340700538107933,0.01603005120318314,0.016651349873032725
continuous,22,0.01704400326930126,0.016720648501733847,0.017367358036868674
continuous,23,0.01775019940378756,0.017413830334693636,0.018086568472881485
continuous,24,0.018449271072106557,0.01809972406435891,0.0187988180798542
continuous,25,0.0191338124204776,0.018771462537364756,0.019496162303590445
continuous,26,0.019810812194450283,0.019436169652839945,0.02018545473606062
continuous,27,0.020490532375027612,0.020103237363565108,0.020877827386490116
continuous,28,0.02116733586666571,0.020767706477147492,0.02156696525618393
continuous,29,0.02182172007781326,0.021410104075043804,0.022233336080582713
continuous,30,0.022493698148279118,0.022070078255676664,0.02291731804088157
continuous,31,0.02315420110909093,0.02271830292520325,0.02359009929297861
continuous,32,0.023801932934891572,0.023354489675472847,0.024249376194310297
continuous,33,0.024452638519752063,0.023993291362662022,0.024911985676842104
continuous,34,0.025101036003266394,0.024629908579888442,0.025572163426644347
continuous,35,0.025746502984265205,0.0252633143760081,0.02622969159252231
continuous,36,0.02638765251385618,0.025892808959597394,0.026882496068114967
continuous,37,0.02701528683064984,0.02650895474503506,0.02752161891626462
continuous,38,0.027641579219770163,0.027123794641967666,0.02815936379757266
continuous,39,0.028258083362535154,0.02772899234795616,0.028787174377114148
continuous,40,0.02887840825134898,0.0283380342147264,0.02941878228797156
continuous,41,0.02949685827445449,0.02894534542283297,0.03004837112607601
continuous,42,0.030108054611070908,0.029545517380714138,0.030670591841427678
continuous,43,0.0307204062210673,0.030146938588803966,0.03129387385333063
continuous,44,0.031332125611148044,0.03074760113224338,0.03191665009005271
continuous,45,0.03193264729600653,0.03133737234250158,0.03252792224951149
continuous,46,0.032532285640638536,0.031926237233423915,0.03313833404785316
continuous,47,0.03312447977030873,0.03250757891383786,0.0337413806267796
