design,outcome,model,r2_in,rmse_in,r2_cv,rmse_cv,increment_M3_minus_M2,increment_M4_minus_M3
E-SD,mean_total_shift,M2 spline(exposure),0.4685630677932605,0.00039212026204112966,0.46706386262404087,0.0003926729661077772,0.000986837578600852,-0.0034207592982857804
E-SD,mean_total_shift,M3 spline + regime,0.4697222313112236,0.00039169238471447004,0.4680507002026417,0.00039230924148526893,0.000986837578600852,-0.0034207592982857804
E-SD,mean_total_shift,M4 regime-specific splines,0.4695974678211411,0.0003917384605993327,0.46462994090435594,0.00039356861426042146,0.000986837578600852,-0.0034207592982857804
E-SD,mean_signed_shift,M1 regime,8.574008525619181e-05,0.0006525346097052173,-2.2094062789301816e-05,0.0006525697945303152,0.00014653572879519405,-0.0034707410628119773
E-SD,mean_signed_shift,M2 spline(exposure),0.11898036364826092,0.0006125125114524517,0.11769617025717205,0.0006129587546800478,0.00014653572879519405,-0.0034707410628119773
E-SD,mean_signed_shift,M3 spline + regime,0.11920321555802948,0.0006124350397309326,0.11784270598596724,0.0006129078515305145,0.00014653572879519405,-0.0034707410628119773
E-SD,mean_signed_shift,M4 regime-specific splines,0.1196385100657903,0.0006122836866836061,0.11437196492315527,0.0006141123737976695,0.00014653572879519405,-0.0034707410628119773
E-SD,conversion_rate,M1 regime,0.00011481390216294685,0.0023966451600919768,-0.0015898882830822636,0.0023986873077369943,-0.0015496610717797843,0.0006582629228111259
E-SD,conversion_rate,M2 spline(exposure),0.008354707615685908,0.002386749546371831,0.003742256284705925,0.0023922938647843056,-0.0015496610717797843,0.0006582629228111259
E-SD,conversion_rate,M3 spline + regime,0.0084422743304019,0.00238664416371518,0.0021925952129261406,0.002394153726943398,-0.0015496610717797843,0.0006582629228111259
E-SD,conversion_rate,M4 regime-specific splines,0.01056402119398081,0.002384089311655726,0.0028508581357372664,0.0023933638737959843,-0.0015496610717797843,0.0006582629228111259
CS-0,mean_total_shift,M1 regime,0.00443532850519035,0.012880670020960522,0.0044168541954716645,0.012880789531219492,0.0039950761072203855,-0.012704555073086876
CS-0,mean_total_shift,M2 spline(exposure),0.8822629371839489,0.004429557205446312,0.881536347414568,0.004443204227903358,0.0039950761072203855,-0.012704555073086876
CS-0,mean_total_shift,M3 spline + regime,0.8862763934898271,0.004353404562741625,0.8855314235217884,0.00436764022516214,0.0039950761072203855,-0.012704555073086876
CS-0,mean_total_shift,M4 regime-specific splines,0.8725357109097921,0.004608907374469425,0.8728268684487015,0.004603640466670736,0.0039950761072203855,-0.012704555073086876
CS-0,mean_signed_shift,M1 regime,0.0012773737595708212,0.008541493108181173,0.0012436136149582833,0.008541637472391068,0.0012102650410009685,-0.012111202945527144
CS-0,mean_signed_shift,M2 spline(exposure),0.7227109165081075,0.00450067586424158,0.7214532308645917,0.004510871057338699,0.0012102650410009685,-0.012111202945527144
CS-0,mean_signed_shift,M3 spline + regime,0.7239237955181781,0.004490821964547701,0.7226634959055926,0.004501060689411378,0.0012102650410009685,-0.012111202945527144
CS-0,mean_signed_shift,M4 regime-specific splines,0.7112155706667391,0.004593018946681294,0.7105522929600655,0.004598290525593986,0.0012102650410009685,-0.012111202945527144
CS-0,conversion_rate,M1 regime,0.00171117163547585,0.011159651975369642,0.0011677774778104943,0.011162688804254946,0.0011698498410240843,-0.009692718635899933
CS-0,conversion_rate,M2 spline(exposure),0.5530793229780828,0.007466855887322208,0.5512710168463726,0.007481946630949583,0.0011698498410240843,-0.009692718635899933
CS-0,conversion_rate,M3 spline + regime,0.5547262486191091,0.007453085315639892,0.5524408666873967,0.007472187437174976,0.0011698498410240843,-0.009692718635899933
CS-0,conversion_rate,M4 regime-specific splines,0.5440705875610767,0.007541736426355507,0.5427481480514967,0.0075526660442993354,0.0011698498410240843,-0.009692718635899933
CS-15,mean_total_shift,M1 regime,0.21748676263172784,0.012835973499358416,0.21747464952645412,0.012836072847771425,0.32632302196889074,0.020033831532872637
CS-15,mean_total_shift,M2 spline(exposure),0.5502137014057826,0.009731640927234825,0.5502266379322864,0.009731500977956237,0.32632302196889074,0.020033831532872637
CS-15,mean_total_shift,M3 spline + regime,0.8770416141593863,0.005088175024856293,0.8765496599011772,0.005098343711544163,0.32632302196889074,0.020033831532872637
CS-15,mean_total_shift,M4 regime-specific splines,0.8974907680223293,0.004645842206502539,0.8965834914340498,0.00466635635086154,0.32632302196889074,0.020033831532872637
CS-15,mean_signed_shift,M1 regime,0.2570079009079196,0.008618267498614003,0.2569748047273247,0.008618459444505214,0.23181523801698944,0.011484645244351444
CS-15,mean_signed_shift,M2 spline(exposure),0.5419163097487335,0.006767064044306213,0.5418225697466286,0.006767756398304276,0.23181523801698944,0.011484645244351444
CS-15,mean_signed_shift,M3 spline + regime,0.7739697350917469,0.004753474506568058,0.773637807763618,0.00475696348460775,0.23181523801698944,0.011484645244351444
CS-15,mean_signed_shift,M4 regime-specific splines,0.7861240063518349,0.004623904887594622,0.7851224530079695,0.004634718813660224,0.23181523801698944,0.011484645244351444
CS-15,conversion_rate,M1 regime,0.1849156529045931,0.011255084016741234,0.18471235177278622,0.011256487570044795,0.20325341013584008,0.01020749737009663
CS-15,conversion_rate,M2 spline(exposure),0.4114346926578992,0.009564115108102423,0.4107890181133542,0.009569359736771392,0.20325341013584008,0.01020749737009663
CS-15,conversion_rate,M3 spline + regime,0.6156092982680152,0.007729188545816684,0.6140424282491943,0.00774492555163501,0.20325341013584008,0.01020749737009663
CS-15,conversion_rate,M4 regime-specific splines,0.6263719729699897,0.00762021435377554,0.6242499256192909,0.007641823493303716,0.20325341013584008,0.01020749737009663
CS-30,mean_total_shift,M1 regime,0.5418067793152279,0.013243926979291581,0.5417950553492581,0.013244096416931608,0.0889917913383117,0.011367237707116784
CS-30,mean_total_shift,M2 spline(exposure),0.8424241630632632,0.007766713037349687,0.8409372708761702,0.007803270514874227,0.0889917913383117,0.011367237707116784
CS-30,mean_total_shift,M3 spline + regime,0.9303666227507521,0.0051629887362898705,0.9299290622144819,0.005179184864963998,0.0889917913383117,0.011367237707116784
CS-30,mean_total_shift,M4 regime-specific splines,0.9415472152918882,0.004730369338314537,0.9412962999215987,0.004740511296101897,0.0889917913383117,0.011367237707116784
CS-30,mean_signed_shift,M1 regime,0.5622556085992281,0.00913906989992635,0.5622327913936905,0.009139308081526321,0.06475702592073007,0.007157437484189955
CS-30,mean_signed_shift,M2 spline(exposure),0.807744003443843,0.00605663847507771,0.8061022778163573,0.0060824431358427215,0.06475702592073007,0.007157437484189955
CS-30,mean_signed_shift,M3 spline + regime,0.8715310977920893,0.004950974737484207,0.8708593037370874,0.004963902763312812,0.06475702592073007,0.007157437484189955
CS-30,mean_signed_shift,M4 regime-specific splines,0.8784649345784156,0.004815512376409107,0.8780167412212774,0.004824383456129081,0.06475702592073007,0.007157437484189955
CS-30,conversion_rate,M1 regime,0.46401492268319333,0.011834445524154575,0.46388883548818893,0.011835837432584458,0.06151823757775521,0.005812509341981409
CS-30,conversion_rate,M2 spline(exposure),0.7017212916916759,0.008828414035231642,0.7004090301302768,0.008847812795366115,0.06151823757775521,0.005812509341981409
CS-30,conversion_rate,M3 spline + regime,0.7627206644319741,0.007874110850916168,0.761927267708032,0.007887264293342234,0.06151823757775521,0.005812509341981409
CS-30,conversion_rate,M4 regime-specific splines,0.7686150767863371,0.007775692801656572,0.7677397770500134,0.007790386147475582,0.06151823757775521,0.005812509341981409
CS-45,mean_total_shift,M1 regime,0.7160085977423838,0.014046814160749823,0.7160029576448079,0.014046953645622452,0.016126121109504732,0.005928782395631549
CS-45,mean_total_shift,M2 spline(exposure),0.9457067893013927,0.006141832994642842,0.9453214360067832,0.00616359069473751,0.016126121109504732,0.005928782395631549
CS-45,mean_total_shift,M3 spline + regime,0.9615569064045884,0.005168141611281746,0.9614475571162879,0.005175486640681192,0.016126121109504732,0.005928782395631549
CS-45,mean_total_shift,M4 regime-specific splines,0.9676218383631934,0.004742980444937942,0.9673763395119195,0.0047609276868233194,0.016126121109504732,0.005928782395631549
CS-45,mean_signed_shift,M1 regime,0.7087065729443873,0.00998483799553407,0.7086997288826475,0.009984955293831867,0.012303453196190306,0.0036515063856813468
CS-45,mean_signed_shift,M2 spline(exposure),0.9082812252964291,0.0056027959032539446,0.9077766464098398,0.005618186290996284,0.012303453196190306,0.0036515063856813468
CS-45,mean_signed_shift,M3 spline + regime,0.9203478253696934,0.005221250127975581,0.9200800996060301,0.0052300175629809795,0.012303453196190306,0.0036515063856813468
CS-45,mean_signed_shift,M4 regime-specific splines,0.9241501033342728,0.00509510545348727,0.9237316059917114,0.005109142090836102,0.012303453196190306,0.0036515063856813468
CS-45,conversion_rate,M1 regime,0.6399435896272903,0.01272336794233691,0.6399013668949022,0.012724113936014211,0.012387895336468224,0.003954491622886858
CS-45,conversion_rate,M2 spline(exposure),0.842044607524124,0.00842721436555342,0.841648735799357,0.008437768004138538,0.012387895336468224,0.003954491622886858
CS-45,conversion_rate,M3 spline + regime,0.854294407595571,0.008093845747329584,0.8540366311358252,0.00810100223627579,0.012387895336468224,0.003954491622886858
CS-45,conversion_rate,M4 regime-specific splines,0.8583672226140447,0.007979922961536814,0.857991122758712,0.007990511111208258,0.012387895336468224,0.003954491622886858
CS-45-R,mean_total_shift,M1 regime,0.7202345293125401,0.01514450451339218,0.7202323577418231,0.01514456328994281,0.012599443977664992,0.005807410692077131
CS-45-R,mean_total_shift,M2 spline(exposure),0.9499694470688568,0.006404358938847054,0.9497081264074931,0.006421062847957091,0.012599443977664992,0.005807410692077131
CS-45-R,mean_total_shift,M3 spline + regime,0.962456308612626,0.005547872845605302,0.9623075703851581,0.005558851588910385,0.012599443977664992,0.005807410692077131
CS-45-R,mean_total_shift,M4 regime-specific splines,0.968350703536544,0.005093778351156265,0.9681149810772353,0.0051127122716323,0.012599443977664992,0.005807410692077131
CS-45-R,mean_signed_shift,M1 regime,0.7047650936600944,0.010737472837254583,0.7047592509311239,0.010737579084571354,0.009789904176520703,0.003811566069779282
CS-45-R,mean_signed_shift,M2 spline(exposure),0.9092224042876524,0.005953982643432039,0.9089774263254027,0.005962011121088579,0.009789904176520703,0.003811566069779282
CS-45-R,mean_signed_shift,M3 spline + regime,0.9190357967633485,0.005622956832599203,0.9187673305019234,0.005632271596553891,0.009789904176520703,0.003811566069779282
CS-45-R,mean_signed_shift,M4 regime-specific splines,0.9229504791830236,0.005485335522849958,0.9225788965717027,0.005498546531416954,0.009789904176520703,0.003811566069779282
CS-45-R,conversion_rate,M1 regime,0.6470115537140317,0.013348070207241491,0.6469409099393484,0.013349405818789318,0.009882836172284137,0.003477456390724498
CS-45-R,conversion_rate,M2 spline(exposure),0.855764990786946,0.00853244662536794,0.8554338641765435,0.00854223516578842,0.009882836172284137,0.003477456390724498
CS-45-R,conversion_rate,M3 spline + regime,0.8657713993160835,0.008231154779796203,0.8653167003488277,0.008245084498655289,0.009882836172284137,0.003477456390724498
CS-45-R,conversion_rate,M4 regime-specific splines,0.8694615151681666,0.0081172238114668,0.8687941567395522,0.008137946404696474,0.009882836172284137,0.003477456390724498
D-A95,mean_total_shift,M1 regime,0.010223402116711355,0.021613201154967197,0.010212385632828003,0.02161332143504867,0.009070621480587793,-0.0027138135269334507
D-A95,mean_total_shift,M2 spline(exposure),0.8906511902847636,0.007183854619530688,0.8904279643059592,0.00719118348485479,0.009070621480587793,-0.0027138135269334507
D-A95,mean_total_shift,M3 spline + regime,0.8996864430849916,0.006880663511041109,0.899498585786547,0.0068871032102656975,0.009070621480587793,-0.0027138135269334507
D-A95,mean_total_shift,M4 regime-specific splines,0.8973296697853775,0.006961021646718429,0.8967847722596135,0.006979469157861661,0.009070621480587793,-0.0027138135269334507
D-A95,mean_signed_shift,M1 regime,0.004630589263720286,0.01571274810954184,0.004613940955187967,0.015712879512808697,0.004063812303850001,-0.003959604369001446
D-A95,mean_signed_shift,M2 spline(exposure),0.7518847600459796,0.007844887568315018,0.7511572109374604,0.007856380943371167,0.004063812303850001,-0.003959604369001446
D-A95,mean_signed_shift,M3 spline + regime,0.7559425250813429,0.0077804740791828295,0.7552210232413104,0.007791966215670407,0.004063812303850001,-0.003959604369001446
D-A95,mean_signed_shift,M4 regime-specific splines,0.7525265299898048,0.007834735284078622,0.7512614188723089,0.00785473576215852,0.004063812303850001,-0.003959604369001446
D-A95,conversion_rate,M1 regime,0.003852528614967654,0.019481622338637816,0.003518770849831876,0.01948488570996464,0.0032017638764603173,-0.003073454748142579
D-A95,conversion_rate,M2 spline(exposure),0.6570074266966639,0.01143156420486638,0.6560805677207415,0.011446999378143728,0.0032017638764603173,-0.003073454748142579
