effect,order,ss,share_sys,design,outcome
message_condition × seeding_regime,2,1.3382095404252148,0.09216689424167333,C-D50,mean_total_shift
inoculation × seeding_regime,2,0.0025382136397116284,0.00017481512500631285,C-D50,mean_total_shift
topology × message_condition × inoculation,3,0.00010910257793872447,7.514253529516138e-06,C-D50,mean_total_shift
topology × message_condition × seeding_regime,3,0.0006767790928421391,4.661200297162501e-05,C-D50,mean_total_shift
topology × inoculation × seeding_regime,3,0.00043258323951356203,2.97934310603542e-05,C-D50,mean_total_shift
message_condition × inoculation × seeding_regime,3,0.0002563926678433859,1.765860665882947e-05,C-D50,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,0.00015406958524799563,1.0611279280596381e-05,C-D50,mean_total_shift
topology,1,0.0024636250164505233,0.00025271579996594183,C-D50,mean_signed_shift
message_condition,1,0.7356306808074182,0.07546014297564697,C-D50,mean_signed_shift
inoculation,1,0.003866413420940547,0.0003966122093044054,C-D50,mean_signed_shift
seeding_regime,1,8.032180323064592,0.8239317518940006,C-D50,mean_signed_shift
topology × message_condition,2,0.00043511745667668134,4.463384460254441e-05,C-D50,mean_signed_shift
topology × inoculation,2,0.0005059337988472714,5.1898102938452545e-05,C-D50,mean_signed_shift
topology × seeding_regime,2,0.003711683643423669,0.00038074020798820377,C-D50,mean_signed_shift
message_condition × inoculation,2,0.00044630173541138074,4.5781114957654636e-05,C-D50,mean_signed_shift
message_condition × seeding_regime,2,0.9623555874290712,0.09871732122578722,C-D50,mean_signed_shift
inoculation × seeding_regime,2,0.004830594387360776,0.0004955167757923211,C-D50,mean_signed_shift
topology × message_condition × inoculation,3,0.00014483837282464052,1.4857352482513831e-05,C-D50,mean_signed_shift
topology × message_condition × seeding_regime,3,0.0006752817061261851,6.92696150698761e-05,C-D50,mean_signed_shift
topology × inoculation × seeding_regime,3,0.0006044803471265681,6.20068936902877e-05,C-D50,mean_signed_shift
message_condition × inoculation × seeding_regime,3,0.0005374227551726563,5.512820359692345e-05,C-D50,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.00021080160264652648,2.162378417624313e-05,C-D50,mean_signed_shift
topology,1,0.004339740044667805,0.0002448776239690324,C-D50,conversion_rate
message_condition,1,1.7293033486192988,0.09757904638824984,C-D50,conversion_rate
inoculation,1,0.006456647348570026,0.0003643279194721463,C-D50,conversion_rate
seeding_regime,1,13.337536803744928,0.7525944615308378,C-D50,conversion_rate
topology × message_condition,2,0.0030518485914443616,0.00017220603632799841,C-D50,conversion_rate
topology × inoculation,2,0.0013584144320550016,7.665097334472587e-05,C-D50,conversion_rate
topology × seeding_regime,2,0.0075389562905421315,0.0004253991447950111,C-D50,conversion_rate
message_condition × inoculation,2,0.0017853093100335116,0.00010073928331904589,C-D50,conversion_rate
message_condition × seeding_regime,2,2.6039620666582213,0.1469332349923201,C-D50,conversion_rate
inoculation × seeding_regime,2,0.008699412271205631,0.0004908799570880625,C-D50,conversion_rate
topology × message_condition × inoculation,3,0.0018125812851512713,0.0001022781534815537,C-D50,conversion_rate
topology × message_condition × seeding_regime,3,0.005661032343756034,0.0003194339143087854,C-D50,conversion_rate
topology × inoculation × seeding_regime,3,0.0029768825770268847,0.00016797594436395656,C-D50,conversion_rate
message_condition × inoculation × seeding_regime,3,0.002544832444762335,0.0001435967399103525,C-D50,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.005048867222583908,0.00028489139821187483,C-D50,conversion_rate
topology,1,0.0027069199801653884,0.00020866915559631971,E-S,mean_total_shift
message_condition,1,0.09654724649931434,0.0074425666623993605,E-S,mean_total_shift
inoculation,1,0.002199267954469769,0.00016953563103155075,E-S,mean_total_shift
seeding_regime,1,12.723894195525922,0.9808506631640758,E-S,mean_total_shift
topology × message_condition,2,0.00014257332476796947,1.0990592816886419e-05,E-S,mean_total_shift
topology × inoculation,2,0.0004043214777617052,3.116805150214908e-05,E-S,mean_total_shift
topology × seeding_regime,2,0.0036030807539013665,0.00027775177100581016,E-S,mean_total_shift
message_condition × inoculation,2,0.00011743914140661948,9.053066455913043e-06,E-S,mean_total_shift
message_condition × seeding_regime,2,0.13887928882971323,0.010705829556196573,E-S,mean_total_shift
inoculation × seeding_regime,2,0.0027560770600292273,0.00021245854221355596,E-S,mean_total_shift
topology × message_condition × inoculation,3,8.774956002612078e-05,6.76437675615385e-06,E-S,mean_total_shift
topology × message_condition × seeding_regime,3,0.00018360766742375745,1.4153819545114328e-05,E-S,mean_total_shift
topology × inoculation × seeding_regime,3,0.0005452608716698393,4.203268899884765e-05,E-S,mean_total_shift
message_condition × inoculation × seeding_regime,3,0.00012972799796351353,1.0000381241632973e-05,E-S,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,0.0001084814235774445,8.362540164341676e-06,E-S,mean_total_shift
topology,1,0.0022788431226020483,0.0002507785505813903,E-S,mean_signed_shift
message_condition,1,0.15727192839119908,0.0173072142868926,E-S,mean_signed_shift
inoculation,1,0.003927199598845177,0.000432174296455156,E-S,mean_signed_shift
seeding_regime,1,8.70391269596954,0.9578345207852094,E-S,mean_signed_shift
topology × message_condition,2,0.00016485992357834212,1.8142246069456688e-05,E-S,mean_signed_shift
topology × inoculation,2,0.0005895588429214197,6.487884604424078e-05,E-S,mean_signed_shift
topology × seeding_regime,2,0.0034935154324031714,0.0003844489021128545,E-S,mean_signed_shift
message_condition × inoculation,2,0.0001768228814841566,1.945872688137883e-05,E-S,mean_signed_shift
message_condition × seeding_regime,2,0.2090812681666332,0.02300864717913432,E-S,mean_signed_shift
inoculation × seeding_regime,2,0.0047848373732293226,0.0005265542719131964,E-S,mean_signed_shift
topology × message_condition × inoculation,3,0.00013647971017408111,1.5019104896586237e-05,E-S,mean_signed_shift
topology × message_condition × seeding_regime,3,0.00022040647098897637,2.4254945320791635e-05,E-S,mean_signed_shift
topology × inoculation × seeding_regime,3,0.0006591793750541086,7.254033707263824e-05,E-S,mean_signed_shift
message_condition × inoculation × seeding_regime,3,0.0002223520607138596,2.4469050524608893e-05,E-S,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.00015355764711166842,1.689847089139782e-05,E-S,mean_signed_shift
topology,1,0.0012625834887304498,9.228371682814168e-05,E-S,conversion_rate
message_condition,1,0.26097741356577236,0.019075147067115075,E-S,conversion_rate
inoculation,1,0.007205500649038181,0.0005266585437208989,E-S,conversion_rate
seeding_regime,1,12.950697647413667,0.9465817707013867,E-S,conversion_rate
topology × message_condition,2,0.0007531460307191318,5.504833197130582e-05,E-S,conversion_rate
topology × inoculation,2,0.0034418488268910443,0.00025156879156202494,E-S,conversion_rate
topology × seeding_regime,2,0.0025302744284640966,0.0001849407432760429,E-S,conversion_rate
message_condition × inoculation,2,0.000862378485606663,6.303226097501843e-05,E-S,conversion_rate
message_condition × seeding_regime,2,0.42867926844779625,0.03133267350051422,E-S,conversion_rate
inoculation × seeding_regime,2,0.011062663335762224,0.0008085831152988411,E-S,conversion_rate
topology × message_condition × inoculation,3,0.001374551592771056,0.0001004675976560599,E-S,conversion_rate
topology × message_condition × seeding_regime,3,0.0014199235920226982,0.00010378389061271451,E-S,conversion_rate
topology × inoculation × seeding_regime,3,0.005806835326596982,0.00042442844511309007,E-S,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0015547148538104238,0.00011363594296786931,E-S,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.003912610956041007,0.00028597735100198055,E-S,conversion_rate
topology,1,2.3076111364834588e-06,0.007581253259649935,E-SD,mean_total_shift
message_condition,1,0.00026340682366252777,0.865377103158164,E-SD,mean_total_shift
inoculation,1,5.363927907482533e-06,0.017622248086000557,E-SD,mean_total_shift
seeding_regime,1,1.1106421301711252e-06,0.003648820694502115,E-SD,mean_total_shift
topology × message_condition,2,4.362850490352186e-06,0.014333383115732297,E-SD,mean_total_shift
