design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
C-D10,mean_total_shift,seeding_regime,tau,0.0679991250897385,0.06791595879695603,0.06799808139124636,0.06807615434965171,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,topology,B_total,5.92318023093664e-05,5.910698405666749e-05,5.92303866302396e-05,5.934626549589977e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,topology,B_factor,1.878598382416853e-08,1.66541052352676e-08,1.8457400437671625e-08,2.0326955535088384e-08,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,topology,q,5.5896734513460845e-06,4.954396608917298e-06,5.492146720943207e-06,6.049699360665035e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,topology,rho,0.0155953907594435,0.013736705125760718,0.015331850944119464,0.016988335230815013,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,topology,tau,0.017624119979178,0.017586197492748618,0.017623938037851603,0.017656909399349406,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,message_condition,B_total,5.92318023093664e-05,5.910698405666749e-05,5.92303866302396e-05,5.934626549589977e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,message_condition,B_factor,1.7166630873886532e-05,1.7122331050579277e-05,1.7166682458071556e-05,1.7205769928741695e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,message_condition,q,0.0051078432592586,0.005094639745760451,0.0051077073477925165,0.005119564531894,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,message_condition,rho,0.0400217504076308,0.03991573583107475,0.04002229811288878,0.04012070211298795,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,message_condition,tau,0.017624119979178,0.017586197492748618,0.017623938037851603,0.017656909399349406,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,inoculation,B_total,5.92318023093664e-05,5.910698405666749e-05,5.92303866302396e-05,5.934626549589977e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,inoculation,B_factor,1.4227470386023635e-08,1.2796298147613686e-08,1.4285099970776269e-08,1.57144645430791e-08,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,inoculation,q,4.233311081331606e-06,3.8091910938127362e-06,4.250137015380234e-06,4.674788510052867e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,inoculation,rho,0.01658420013187,0.014936100190792435,0.01661136940662955,0.01852354570777786,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,inoculation,tau,0.017624119979178,0.017586197492748618,0.017623938037851603,0.017656909399349406,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
