design,outcome,metric,lo95,median,hi95
CS-30,mean_signed_shift,shapley_rho__seeding_regime,0.05748061970754514,0.05803771735847214,0.05857608159753107
CS-30,mean_signed_shift,shapley_share__message_condition,0.38483960348316854,0.38737018353285035,0.39018906865533737
CS-30,mean_signed_shift,shapley_share__seeding_regime,0.6055358062136715,0.6082343175166736,0.610800496834107
CS-30,mean_signed_shift,tau,0.08272300035231633,0.08336590059074027,0.08408650284476145
CS-30,mean_total_shift,main_rho__message_condition,0.5355159014556922,0.5391380437046956,0.5427016205539932
CS-30,mean_total_shift,main_rho__seeding_regime,0.07433742445301049,0.07476951363670047,0.07515061900584134
CS-30,mean_total_shift,main_share__message_condition,0.3861380600564847,0.38770296190484943,0.3892949781862712
CS-30,mean_total_shift,main_share__seeding_regime,0.5430892786094658,0.544575689701093,0.5461394166407931
CS-30,mean_total_shift,omega,0.45426954199960806,0.4938531617772272,0.5397338515444547
CS-30,mean_total_shift,shapley_rho__message_condition,0.37081641983588637,0.3736513834915344,0.376169819003012
CS-30,mean_total_shift,shapley_rho__seeding_regime,0.07464876938668812,0.07509359116308525,0.07549117984929034
CS-30,mean_total_shift,shapley_share__message_condition,0.4192580198619872,0.42077510885586683,0.4222727068604893
CS-30,mean_total_shift,shapley_share__seeding_regime,0.5761517762579877,0.5776460710198625,0.5792257609727337
CS-30,mean_total_shift,tau,0.11275003821388405,0.11331756810151788,0.11386963572786157
CS-45,conversion_rate,main_rho__message_condition,0.18822934956808887,0.19577136645492732,0.20304674326033817
CS-45,conversion_rate,main_rho__seeding_regime,0.09120943310608039,0.09321350496964916,0.09521471290689083
CS-45,conversion_rate,main_share__message_condition,0.1847745280007577,0.19068013241849135,0.1959980191063611
CS-45,conversion_rate,main_share__seeding_regime,0.6925521123117225,0.7001289430765758,0.7088630104279848
CS-45,conversion_rate,omega,0.5437087856347782,0.590785758103634,0.6501009140216414
CS-45,conversion_rate,shapley_rho__message_condition,0.13640827482342846,0.1418338861853055,0.1473479794466893
CS-45,conversion_rate,shapley_rho__seeding_regime,0.0891510046388269,0.09116971222994782,0.09317116485056454
CS-45,conversion_rate,shapley_share__message_condition,0.23620431193277344,0.2430313141401781,0.24932251788599752
