design,outcome,factor,replications,B_total_U,B_factor_U,q_proportion,rho_proportion,tau_proportion,in_sample_B_total,in_sample_B_factor
J-S18-D05,mean_total_shift,inoculation,60,1.0162076515870838e-07,3.2668589160750133e-09,9.720376820697266e-07,0.0038128480540658015,3.02367551071663e-05,1.0776107167136532e-07,4.682844229935674e-09
J-S18-D05,mean_total_shift,seeding_regime,60,1.0162076515870838e-07,2.561168464778729e-10,7.620629852251724e-08,8.741659338708948e-08,3.02367551071663e-05,1.0776107167136532e-07,1.6608067280207763e-09
J-S18-D50,mean_total_shift,topology,30,1.3474721409360826e-05,5.44588049371224e-07,0.00016203947546950732,0.45257014888765446,0.0040093365834809325,1.3579427602626254e-05,5.719245289315707e-07
J-S18-D50,mean_total_shift,message_condition,30,1.3474721409360826e-05,1.1050665779135652e-05,0.003288070842735964,0.025763145779745096,0.0040093365834809325,1.3579427602626254e-05,1.1079646492782499e-05
J-S18-D50,mean_total_shift,inoculation,30,1.3474721409360826e-05,3.9698063614672424e-07,0.00011811962111000656,0.4633278892412034,0.0040093365834809325,1.3579427602626254e-05,4.207445125920508e-07
J-S18-D50,mean_total_shift,seeding_regime,30,1.3474721409360826e-05,1.4824869447075322e-06,0.0004411066441655454,0.0005059954478955494,0.0040093365834809325,1.3579427602626254e-05,1.5071120683204388e-06
J-S18-D95,mean_total_shift,topology,30,5.646046457619609e-05,1.3021317274222677e-06,0.00038744284298438514,1.082113260530122,0.016799531453645843,5.665928751618845e-05,1.3552862709566665e-06
J-S18-D95,mean_total_shift,message_condition,30,5.646046457619609e-05,4.413508331846481e-05,0.013132175336906927,0.10289502987970577,0.016799531453645843,5.665928751618845e-05,4.418864610067102e-05
J-S18-D95,mean_total_shift,inoculation,30,5.646046457619609e-05,1.3067867053912628e-06,0.0003888279086120444,1.525189570389065,0.016799531453645843,5.665928751618845e-05,1.3532620671204133e-06
J-S18-D95,mean_total_shift,seeding_regime,30,5.646046457619609e-05,9.716462824918782e-06,0.0028910853651427934,0.003316377237996634,0.016799531453645843,5.665928751618845e-05,9.762093077441376e-06
NC-NoOp,mean_total_shift,topology,30,0.0033608356716367236,1.2033229560317555e-06,0.00035804278268855035,1.0,1.0,0.0033609760803919877,1.2405441608435302e-06
NC-NoOp,mean_total_shift,message_condition,30,0.0033608356716367236,0.0004289330920070968,0.12762691601586304,1.0,1.0,0.0033609760803919877,0.0004289723176639915
NC-NoOp,mean_total_shift,inoculation,30,0.0033608356716367236,8.568028071801664e-07,0.00025493742952415886,1.0,1.0,0.0033609760803919877,8.884876613631394e-07
NC-NoOp,mean_total_shift,seeding_regime,30,0.0033608356716367236,0.002929842453866415,0.8717601037719244,1.0,1.0,0.0033609760803919877,0.00292987473090579
PC-M01,mean_total_shift,topology,30,8.040186822155756e-05,1.4790431300415136e-07,4.400819541769565e-05,0.12291323145026761,0.023923177470442026,8.043342767532898e-05,1.561581479560797e-07
PC-M01,mean_total_shift,message_condition,30,8.040186822155756e-05,7.319597605777213e-05,0.021779099964779225,0.17064660531382148,0.023923177470442026,8.043342767532898e-05,7.32047191737212e-05
PC-M01,mean_total_shift,inoculation,30,8.040186822155756e-05,1.0519126676219699e-07,3.1299140166222094e-05,0.12277185121322512,0.023923177470442026,8.043342767532898e-05,1.1220034555138733e-07
PC-M01,mean_total_shift,seeding_regime,30,8.040186822155756e-05,6.952796584019164e-06,0.0020687701700789077,0.002373095718796685,0.023923177470442026,8.043342767532898e-05,6.960350008100398e-06
PC-M05,mean_total_shift,topology,30,2.962449512623758e-05,1.5634931604632984e-08,4.652096422500416e-06,0.01299313000409541,0.00881462172525992,2.962914705866462e-05,1.6844689580829887e-08
PC-M05,mean_total_shift,message_condition,30,2.962449512623758e-05,6.40658575178239e-06,0.0019062478436092025,0.014936095794810793,0.00881462172525992,2.962914705866462e-05,6.407849868887519e-06
PC-M05,mean_total_shift,inoculation,30,2.962449512623758e-05,8.517661154161949e-09,2.534387868483274e-06,0.00994121527471942,0.00881462172525992,2.962914705866462e-05,9.616445614885939e-09
PC-M05,mean_total_shift,seeding_regime,30,2.962449512623758e-05,2.31937567816964e-05,0.006901187397359736,0.00791638361000892,0.00881462172525992,2.962914705866462e-05,2.3194836054581392e-05
S-A06,mean_total_shift,topology,30,0.000525973352268962,1.686623526897276e-07,5.0184647262919944e-05,0.14016382870807348,0.15650076458894926,0.0005260030613287432,1.7645463702443418e-07
S-A06,mean_total_shift,message_condition,30,0.000525973352268962,7.876165291011463e-06,0.0023435139532352613,0.01836222347442745,0.15650076458894926,0.0005260030613287432,7.884355726571905e-06
S-A06,mean_total_shift,inoculation,30,0.000525973352268962,2.223238473367894e-07,6.615135908400958e-05,0.2594807643878782,0.15650076458894926,0.0005260030613287432,2.2927165739330563e-07
S-A06,mean_total_shift,seeding_regime,30,0.000525973352268962,0.0005177062007779242,0.1540409146293671,0.17670103731848263,0.15650076458894926,0.0005260030613287432,0.0005177129793077536
S-A18,mean_total_shift,topology,30,0.004764187324306784,1.8330043365829576e-06,0.0005454013571839668,1.5232854383728593,1.417560330162358,0.004764388600765616,1.8859579769774867e-06
S-A18,mean_total_shift,message_condition,30,0.004764187324306784,5.634308920667484e-05,0.01676460699408008,0.1313563589673856,1.417560330162358,0.004764388600765616,5.6399397927111e-05
S-A18,mean_total_shift,inoculation,30,0.004764187324306784,1.3272681629471009e-06,0.0003949220648151246,1.549094087722808,1.417560330162358,0.004764388600765616,1.3743437477556558e-06
S-A18,mean_total_shift,seeding_regime,30,0.004764187324306784,0.00470468396260058,1.399855399746279,1.6057805280253095,1.417560330162358,0.004764388600765616,0.004704728901113772
