design,outcome,factor,metric,point,p02_5,median,p97_5,range_width,bootstrap_draws,range_label,replications_design,replications_benchmark
C-D10,mean_total_shift,seeding_regime,B_total_U,0.00022853334138815635,0.00022730102984865267,0.000228570855164436,0.0002299749097577213,2.6738799090686416e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,seeding_regime,B_factor_U,0.00018015588854007267,0.00017925578807332705,0.00018017664421342473,0.00018115484734396704,1.8990592706399944e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,seeding_regime,q_proportion,0.0536044919007709,0.05332884662824692,0.053621816851493,0.0539028496552822,0.0005740030270352803,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,seeding_regime,rho_proportion,0.061489957694594456,0.061175180994954094,0.061511380244284916,0.061833839659546544,0.00065865866459245,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,seeding_regime,tau_proportion,0.06799896326881726,0.06763148977416679,0.06801826817942877,0.06839515970338426,0.0007636699292174753,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,topology,B_total_U,5.9231488817922564e-05,5.874221246052574e-05,5.925383029817964e-05,5.9747227739025435e-05,1.0050152784996921e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,topology,B_factor_U,1.8733034393112415e-08,1.1867354847777946e-08,1.883807601531743e-08,2.6840600105391367e-08,1.497324525761342e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,topology,q_proportion,5.573921555048672e-06,3.5279636945963588e-06,5.5997414028070115e-06,7.993907358590562e-06,4.465943663994203e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,topology,rho_proportion,0.015567752862364618,0.009850565637654005,0.015715789013498592,0.022603968676893814,0.01275340303923981,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,topology,tau_proportion,0.01762403598539434,0.01747540647724957,0.017627925315648538,0.01776665398698241,0.0002912475097328407,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,message_condition,B_total_U,5.9231488817922564e-05,5.874221246052574e-05,5.925383029817964e-05,5.9747227739025435e-05,1.0050152784996921e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,message_condition,B_factor_U,1.7166527818853414e-05,1.6997452731894698e-05,1.7169019620638513e-05,1.7340626132674432e-05,3.431734007797341e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,message_condition,q_proportion,0.00510781528645622,0.005056971399295251,0.005108523816617741,0.005161118834164369,0.00010414743486911789,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,message_condition,rho_proportion,0.04002145821514137,0.03958346587493437,0.04003366278851209,0.04043718717431587,0.0008537212993814935,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,message_condition,tau_proportion,0.01762403598539434,0.01747540647724957,0.017627925315648538,0.01776665398698241,0.0002912475097328407,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,inoculation,B_total_U,5.9231488817922564e-05,5.874221246052574e-05,5.925383029817964e-05,5.9747227739025435e-05,1.0050152784996921e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,inoculation,B_factor_U,1.4194721489752598e-08,7.96153444680908e-09,1.3812270958295235e-08,2.06804524809987e-08,1.271891803418962e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,inoculation,q_proportion,4.22356903955372e-06,2.3764592762795604e-06,4.104198100717049e-06,6.163067375297418e-06,3.7866080990178577e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,inoculation,rho_proportion,0.016567080979191712,0.00920523834129416,0.016176957810360215,0.0257256258191276,0.01652038747783344,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,inoculation,tau_proportion,0.01762403598539434,0.01747540647724957,0.017627925315648538,0.01776665398698241,0.0002912475097328407,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,seeding_regime,B_total_U,5.9231488817922564e-05,5.874221246052574e-05,5.925383029817964e-05,5.9747227739025435e-05,1.0050152784996921e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,seeding_regime,B_factor_U,4.203203324318629e-05,4.1668166322052954e-05,4.204922699074068e-05,4.241307183357941e-05,7.449055115264569e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,seeding_regime,q_proportion,0.012506423208343515,0.012397871974925126,0.012510120957849922,0.012612182857691041,0.00021431088276591473,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,seeding_regime,rho_proportion,0.014346175231271572,0.014224487625396985,0.014351508327892334,0.014465061086977498,0.00024057346158051253,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D5,mean_total_shift,seeding_regime,tau_proportion,0.01762403598539434,0.01747540647724957,0.017627925315648538,0.01776665398698241,0.0002912475097328407,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,topology,B_total_U,0.0033608356716367236,0.003350225888086227,0.0033609722179280413,0.003371356706166034,2.113081807980687e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,topology,B_factor_U,1.2033229560317555e-06,9.980398311081676e-07,1.199001511212359e-06,1.4094435336983268e-06,4.114037025901593e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,topology,q_proportion,0.00035804278268855035,0.0002967394364556836,0.00035661179038308944,0.00041905366796648097,0.00012231423151079734,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,topology,rho_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,topology,tau_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,message_condition,B_total_U,0.0033608356716367236,0.003350225888086227,0.0033609722179280413,0.003371356706166034,2.113081807980687e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,message_condition,B_factor_U,0.0004289330920070968,0.00042555969013999625,0.00042907368646647267,0.0004319857463245755,6.426056184579256e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,message_condition,q_proportion,0.12762691601586304,0.1269417341704595,0.12766594448944535,0.12827675043608414,0.0013350162656246278,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,message_condition,rho_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,message_condition,tau_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,inoculation,B_total_U,0.0033608356716367236,0.003350225888086227,0.0033609722179280413,0.003371356706166034,2.113081807980687e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,inoculation,B_factor_U,8.568028071801664e-07,7.39356994893278e-07,8.514178008562772e-07,9.77816261590671e-07,2.38459266697393e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,inoculation,q_proportion,0.00025493742952415886,0.00021991483196639243,0.00025333560856751283,0.00029117896334733177,7.126413138093933e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,inoculation,rho_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,inoculation,tau_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,seeding_regime,B_total_U,0.0033608356716367236,0.003350225888086227,0.0033609722179280413,0.003371356706166034,2.113081807980687e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,seeding_regime,B_factor_U,0.002929842453866415,0.0029216807929766456,0.002929805530487251,0.002938107970591527,1.6427177614881418e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,seeding_regime,q_proportion,0.8717601037719244,0.8711054165533331,0.8717243831841548,0.8724699598773829,0.0013645433240497828,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,seeding_regime,rho_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D50,mean_total_shift,seeding_regime,tau_proportion,1.0,1.0,1.0,1.0,0.0,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,topology,B_total_U,0.00016458535334920954,0.00016359918645455932,0.00016459921289178116,0.00016566506363853106,2.0658771839717415e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,topology,B_factor_U,3.216109134351207e-07,2.812354079149677e-07,3.2132284043174344e-07,3.664031022787918e-07,8.516769436382412e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,topology,q_proportion,9.569373360004134e-05,8.366674469367055e-05,9.56078978543249e-05,0.00010909306197941052,2.542631728573997e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,topology,rho_proportion,0.2672689919385477,0.2191983988478612,0.26833157512026307,0.3353925607518766,0.11619416190401544,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,topology,tau_proportion,0.048971556312081346,0.048698694309568656,0.04897103285815523,0.04927383890936555,0.0005751445997968924,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,message_condition,B_total_U,0.00016458535334920954,0.00016359918645455932,0.00016459921289178116,0.00016566506363853106,2.0658771839717415e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,message_condition,B_factor_U,0.0001632321112920691,0.00016224401093241705,0.0001632448894743737,0.00016430986545381914,2.0658545214020854e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,message_condition,q_proportion,0.04856890584375856,0.0482899415547439,0.048568681196892616,0.04886467536449965,0.0005747338097557494,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,message_condition,rho_proportion,0.38055378410712215,0.3778620807024362,0.3805507551826658,0.3833518444873389,0.005489763784902679,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,message_condition,tau_proportion,0.048971556312081346,0.048698694309568656,0.04897103285815523,0.04927383890936555,0.0005751445997968924,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,inoculation,B_total_U,0.00016458535334920954,0.00016359918645455932,0.00016459921289178116,0.00016566506363853106,2.0658771839717415e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,inoculation,B_factor_U,2.212930000471565e-07,1.8574834697152386e-07,2.209137553043741e-07,2.559718628489832e-07,7.022351587745935e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,inoculation,q_proportion,6.584463558118182e-05,5.5242333612288596e-05,6.572266762652346e-05,7.624100011037624e-05,2.0998666498087648e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,inoculation,rho_proportion,0.2582776319039575,0.20642160542503668,0.2596065826821292,0.31733021050307864,0.11090860507804196,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,inoculation,tau_proportion,0.048971556312081346,0.048698694309568656,0.04897103285815523,0.04927383890936555,0.0005751445997968924,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,seeding_regime,B_total_U,0.00016458535334920954,0.00016359918645455932,0.00016459921289178116,0.00016566506363853106,2.0658771839717415e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,seeding_regime,B_factor_U,8.103381436583885e-07,7.379874962214851e-07,8.085365235924858e-07,8.793714096628733e-07,1.4138391344138825e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,seeding_regime,q_proportion,0.00024111209914162647,0.0002191493166698531,0.0002407034995446364,0.00026175990546273796,4.2610588792884864e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,seeding_regime,rho_proportion,0.0002765807910896411,0.00025162784481089846,0.00027606784788358524,0.0003001820209013479,4.855417609044943e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-0,mean_total_shift,seeding_regime,tau_proportion,0.048971556312081346,0.048698694309568656,0.04897103285815523,0.04927383890936555,0.0005751445997968924,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,topology,B_total_U,0.0002084105827184052,0.00020728291637887769,0.0002084260931262219,0.00020947726631721702,2.1943499383393324e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,topology,B_factor_U,2.9966007913499714e-07,2.5516861487461253e-07,3.0047834350558256e-07,3.5159023761632097e-07,9.642162274170844e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,topology,q_proportion,8.916237162796566e-05,7.595746204298942e-05,8.941309284462833e-05,0.00010443959220036624,2.8482130157376823e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,topology,rho_proportion,0.24902714407044782,0.20057842677675666,0.25145297011116846,0.31457634080818747,0.11399791403143081,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,topology,tau_proportion,0.06201153614181602,0.061724231176862925,0.062010294562333486,0.06229537299601099,0.0005711418191480661,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,message_condition,B_total_U,0.0002084105827184052,0.00020728291637887769,0.0002084260931262219,0.00020947726631721702,2.1943499383393324e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,message_condition,B_factor_U,0.0001594110262491174,0.00015851519809352202,0.000159429483805871,0.0001602363287603594,1.7211306668373687e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,message_condition,q_proportion,0.04743196092401756,0.04719531590802184,0.04743105554772194,0.047656800200141604,0.000461484292119764,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,message_condition,rho_proportion,0.3716454365952252,0.3692002175938276,0.37165209283215006,0.3739427280883482,0.004742510494520624,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,message_condition,tau_proportion,0.06201153614181602,0.061724231176862925,0.062010294562333486,0.06229537299601099,0.0005711418191480661,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,inoculation,B_total_U,0.0002084105827184052,0.00020728291637887769,0.0002084260931262219,0.00020947726631721702,2.1943499383393324e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,inoculation,B_factor_U,2.0776944381972882e-07,1.73533400058023e-07,2.0824220855228423e-07,2.451537088817472e-07,7.162030882372422e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,inoculation,q_proportion,6.18207684395784e-05,5.169685894645254e-05,6.194242734318491e-05,7.283052793886616e-05,2.113366899241362e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,inoculation,rho_proportion,0.2424938878334459,0.1887733195675376,0.24338887862647152,0.29921282767210905,0.11043950810457145,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,inoculation,tau_proportion,0.06201153614181602,0.061724231176862925,0.062010294562333486,0.06229537299601099,0.0005711418191480661,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,seeding_regime,B_total_U,0.0002084105827184052,0.00020728291637887769,0.0002084260931262219,0.00020947726631721702,2.1943499383393324e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,seeding_regime,B_factor_U,4.8492126946333277e-05,4.793524947223082e-05,4.8488983217663266e-05,4.9080197568509876e-05,1.1449480962790582e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,seeding_regime,q_proportion,0.014428592077730971,0.014281473733883976,0.014427105823080431,0.014588865862816498,0.0003073921289325227,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,seeding_regime,rho_proportion,0.01655110392790569,0.0163787692339297,0.016549950240146133,0.01673642757614916,0.0003576583422194614,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-15,mean_total_shift,seeding_regime,tau_proportion,0.06201153614181602,0.061724231176862925,0.062010294562333486,0.06229537299601099,0.0005711418191480661,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
CS-30,mean_total_shift,topology,B_total_U,0.00038072146233215096,0.00037876264270364697,0.000380785115636325,0.00038277859639581437,4.015953692167401e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
