design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
C-D1,mean_signed_shift,inoculation,30,100,7.642727899247743e-07,5.0653277152045e-09,4.1330395233096697e-10,4.161289778697397e-09,5.663417239720582e-09,1.0,1.0,0.96,2.2448301679064544e-06,0.0030974855988415008,0.00033870713047515026
C-D1,mean_signed_shift,seeding_regime,30,100,7.642727899247743e-07,6.070105785838298e-10,3.4365084631883763e-10,-5.1318440813247435e-11,1.1987286677581324e-09,0.97,0.97,0.96,2.690123395082878e-07,3.0784834134570486e-07,0.00033870713047515026
C-D10,mean_signed_shift,topology,30,100,9.561923825374233e-05,7.207934965833464e-08,2.4304973749186727e-09,6.674240265694326e-08,7.626562657801464e-08,1.0,1.0,1.0,3.1943816411012784e-05,0.060869086477699536,0.042376123072931274
C-D10,mean_signed_shift,message_condition,30,100,9.561923825374233e-05,1.9698120564847236e-05,2.345585331280073e-09,1.9692741573382512e-05,1.97021079278894e-05,1.0,1.0,1.0,0.008729728416642511,0.06989177785790618,0.042376123072931274
C-D10,mean_signed_shift,inoculation,30,100,9.561923825374233e-05,1.52047405920998e-07,2.0248694843501052e-09,1.4681905516327563e-07,1.5522517239518725e-07,1.0,1.0,1.0,6.738371591216874e-05,0.09297812040232134,0.042376123072931274
C-D10,mean_signed_shift,seeding_regime,30,100,9.561923825374233e-05,7.569699093331577e-05,1.9794702830757148e-09,7.56921930426878e-05,7.569994267282731e-05,1.0,1.0,1.0,0.03354706712396559,0.03839009388938332,0.042376123072931274
C-D5,mean_signed_shift,topology,30,100,2.111255995563062e-05,1.7371077109544655e-08,1.363904805982452e-09,1.4398026271096133e-08,1.9743362534901322e-08,1.0,1.0,1.0,7.698439298899493e-06,0.014669410861830608,0.009356573587108955
C-D5,mean_signed_shift,message_condition,30,100,2.111255995563062e-05,6.041276126174885e-06,1.251105437544199e-09,6.038935055028909e-06,6.043492620945285e-06,1.0,1.0,1.0,0.002677346790412534,0.021435320572785906,0.009356573587108955
C-D5,mean_signed_shift,inoculation,30,100,2.111255995563062e-05,5.069075717897876e-08,9.683151558899657e-10,4.881031867534669e-08,5.2216371580676355e-08,1.0,1.0,1.0,2.2464911916325662e-05,0.030997775303847067,0.009356573587108955
C-D5,mean_signed_shift,seeding_regime,30,100,2.111255995563062e-05,1.500322199516721e-05,1.2455505695719572e-09,1.5000722375296125e-05,1.500511816345432e-05,1.0,1.0,1.0,0.006649063445481195,0.007608956365849833,0.009356573587108955
