design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
C-D5,mean_total_shift,inoculation,30,100,5.92318023093664e-05,1.4227470386023637e-08,1.0272652657799734e-09,1.200686274906571e-08,1.5972210856159224e-08,1.0,1.0,1.0,4.233311081331606e-06,0.016584200131870074,0.017624119979178093
C-D5,mean_total_shift,seeding_regime,30,100,5.92318023093664e-05,4.203215798126968e-05,8.557917418017224e-10,4.203034094513677e-05,4.20334942329515e-05,1.0,1.0,1.0,0.012506453735386749,0.014346217933266209,0.017624119979178093
C-D50,mean_total_shift,topology,30,100,0.00336083744205926,1.204585644177782e-06,8.97739914510869e-09,1.185925239206517e-06,1.220781382728204e-06,1.0,1.0,1.0,0.0003584183004815923,1.0,1.0
C-D50,mean_total_shift,message_condition,30,100,0.00336083744205926,0.00042893253540988134,1.09101737617265e-08,0.000428911810170832,0.00042895153114567514,1.0,1.0,1.0,0.12762668317187778,1.0,1.0
C-D50,mean_total_shift,inoculation,30,100,0.00336083744205926,8.578930712903375e-07,8.099915596518823e-09,8.403757128635944e-07,8.718949157605411e-07,1.0,1.0,1.0,0.0002552616977406343,1.0,1.0
C-D50,mean_total_shift,seeding_regime,30,100,0.00336083744205926,0.0029298424279339107,7.764149809748038e-09,0.002929825212212093,0.002929855519909295,1.0,1.0,1.0,0.8717596368299,1.0,1.0
CS-0,mean_total_shift,topology,30,100,0.00016458644666727965,3.217040470492226e-07,2.5508226398581777e-09,3.1677175941039675e-07,3.2624333871429407e-07,1.0,1.0,1.0,9.572139462124874e-05,0.2670661472715867,0.04897185582603896
CS-0,mean_total_shift,message_condition,30,100,0.00016458644666727965,0.00016323231803974,3.281619729661262e-09,0.00016322590567374113,0.00016323767429452516,1.0,1.0,1.0,0.0485689417753344,0.3805547599315536,0.04897185582603896
CS-0,mean_total_shift,inoculation,30,100,0.00016458644666727965,2.2166419265581174e-07,2.3977653289021115e-09,2.17324010678135e-07,2.2593505928904731e-07,1.0,1.0,1.0,6.595504735867056e-05,0.25838207589485673,0.04897185582603896
CS-0,mean_total_shift,seeding_regime,30,100,0.00016458644666727965,8.107603878346302e-07,2.874368608242117e-09,8.04536396012243e-07,8.152336101532726e-07,1.0,1.0,1.0,0.0002412376087246455,0.0002767249119285806,0.04897185582603896
CS-15,mean_total_shift,topology,30,100,0.0002084114247076385,3.000538986971594e-07,2.70278880192205e-09,2.9481055082429854e-07,3.049575153803716e-07,1.0,1.0,1.0,8.927950365647846e-05,0.2490930388780851,0.062011754004960194
CS-15,mean_total_shift,message_condition,30,100,0.0002084114247076385,0.00015941107625418313,2.8700295673292652e-09,0.00015940421984795143,0.0001594155029008778,1.0,1.0,1.0,0.047431950816552555,0.3716460354350419,0.062011754004960194
CS-15,mean_total_shift,inoculation,30,100,0.0002084114247076385,2.0795352270876194e-07,2.4670271702453557e-09,2.031882803719012e-07,2.122624266228972e-07,1.0,1.0,1.0,6.187550760602815e-05,0.2424002823521861,0.062011754004960194
CS-15,mean_total_shift,seeding_regime,30,100,0.0002084114247076385,4.8492341032049466e-05,2.671592260286966e-09,4.8486553643291975e-05,4.849636019073348e-05,1.0,1.0,1.0,0.014428648177145136,0.01655117714512916,0.062011754004960194
CS-30,mean_total_shift,topology,30,100,0.00038072312629170644,2.989705061355614e-07,2.420320080037691e-09,2.940120310221291e-07,3.030950794188769e-07,1.0,1.0,1.0,8.895714573816921e-05,0.24819364864640298,0.1132822199393342
CS-30,mean_total_shift,message_condition,30,100,0.00038072312629170644,0.00016021842218536471,2.9648348034413864e-09,0.00016021141939022348,0.00016022356190427902,1.0,1.0,1.0,0.04767217247115508,0.37352825668088446,0.1132822199393342
CS-30,mean_total_shift,inoculation,30,100,0.00038072312629170644,2.3182492993752657e-07,2.4017275781279196e-09,2.2723950290212988e-07,2.3631978570070377e-07,1.0,1.0,1.0,6.897832279429803e-05,0.27022590308235495,0.1132822199393342
CS-30,mean_total_shift,seeding_regime,30,100,0.00038072312629170644,0.00021997390867026866,2.7976042213395476e-09,0.0002199692272776314,0.00021997902308168292,1.0,1.0,1.0,0.06545211199964665,0.07508045708293998,0.1132822199393342
CS-45,mean_total_shift,topology,30,100,0.0006926849113463485,3.5185557569717796e-07,3.38828382732035e-09,3.444894144461491e-07,3.5694724518768004e-07,1.0,1.0,1.0,0.00010469282783328794,0.29209676987089217,0.20610485430736125
CS-45,mean_total_shift,message_condition,30,100,0.0006926849113463485,0.0001640588612341453,3.700865662217809e-09,0.00016405219553435534,0.00016406451906716808,1.0,1.0,1.0,0.048814875477471105,0.3824817370810381,0.20610485430736125
CS-45,mean_total_shift,inoculation,30,100,0.0006926849113463485,2.6602462994074857e-07,3.056337713484126e-09,2.603333310217658e-07,2.7183910523414247e-07,1.0,1.0,1.0,7.915426869850311e-05,0.3100906614627706,0.20610485430736125
CS-45,mean_total_shift,seeding_regime,30,100,0.0006926849113463485,0.0005280081699065652,2.803989460612604e-09,0.0005280015391764931,0.0005280126312356567,1.0,1.0,1.0,0.15710613173335836,0.18021725840010794,0.20610485430736125
CS-45-R,mean_total_shift,topology,30,100,0.0008177768415060058,2.387219186298148e-07,3.449402719456078e-09,2.3155972881400365e-07,2.4466070483411906e-07,1.0,1.0,1.0,7.103048652169995e-05,0.19817762214222637,0.2433253186458598
CS-45-R,mean_total_shift,message_condition,30,100,0.0008177768415060058,0.00018892504674878648,3.549699622917852e-09,0.00018891648301203734,0.00018893033346179731,1.0,1.0,1.0,0.05621368185931298,0.44045399020210163,0.2433253186458598
CS-45-R,mean_total_shift,inoculation,30,100,0.0008177768415060058,3.066165380438365e-07,3.089844524444087e-09,3.005416646628185e-07,3.114738738720164e-07,1.0,1.0,1.0,9.123218344531586e-05,0.3574064744253751,0.2433253186458598
CS-45-R,mean_total_shift,seeding_regime,30,100,0.0008177768415060058,0.0006283064563005457,3.036907024168717e-09,0.0006282999764116192,0.0006283110965400041,1.0,1.0,1.0,0.1869493741165798,0.21445059649287002,0.2433253186458598
D-A95,mean_total_shift,topology,30,100,0.00046804174015478863,7.807683844369627e-07,5.80871753309518e-09,7.683977914576892e-07,7.897145121245654e-07,1.0,1.0,0.99,0.00023231364143532288,0.6481634479131572,0.13926342711416861
D-A95,mean_total_shift,message_condition,30,100,0.00046804174015478863,0.0004611939085418082,6.0947435411452965e-09,0.0004611811048340201,0.00046120369581127745,1.0,1.0,0.99,0.13722588982441958,1.0752131640028155,0.13926342711416861
D-A95,mean_total_shift,inoculation,30,100,0.00046804174015478863,7.644616333638354e-07,5.138230189436012e-09,7.552112507266024e-07,7.7216564749268e-07,1.0,1.0,0.99,0.00022746165101500198,0.8910919774815595,0.13926342711416861
D-A95,mean_total_shift,seeding_regime,30,100,0.00046804174015478863,5.302601595179634e-06,5.468589049437808e-09,5.291793524018258e-06,5.311603043805506e-06,1.0,1.0,0.99,0.0015777619972986887,0.0018098589687360641,0.13926342711416861
E-S,mean_total_shift,topology,30,100,0.003002711833699607,1.1398577631844707e-06,8.70703067325368e-09,1.1218984317642979e-06,1.1544934812010755e-06,1.0,1.0,1.0,0.0003391588503864247,0.9462654388202569,0.8934415560009289
E-S,mean_total_shift,message_condition,30,100,0.003002711833699607,3.845195226567705e-05,9.563433621047717e-09,3.8431253455494784e-05,3.846797233693281e-05,1.0,1.0,1.0,0.01144118182702603,0.08964568805426,0.8934415560009289
E-S,mean_total_shift,inoculation,30,100,0.003002711833699607,9.229863536833302e-07,6.544057763163683e-09,9.099136575441266e-07,9.340485343387186e-07,1.0,1.0,1.0,0.0002746298711543144,1.0758757525516407,0.8934415560009289
E-S,mean_total_shift,seeding_regime,30,100,0.003002711833699607,0.0029621970373170632,6.885640970530834e-09,0.002962182135134452,0.002962208158218939,1.0,1.0,1.0,0.8813865854523625,1.0110431226862833,0.8934415560009289
E-SD,mean_total_shift,topology,60,100,6.151604633771951e-08,1.3070183192404888e-09,1.6144533630284175e-10,1.0198947553251732e-09,1.5786886837118913e-09,1.0,1.0,1.0,3.8889661930201824e-07,0.0010850356100106312,1.830378511256625e-05
E-SD,mean_total_shift,message_condition,60,100,6.151604633771951e-08,5.831764428795435e-08,1.5104340762581819e-10,5.801073959425928e-08,5.8579179146047034e-08,1.0,1.0,1.0,1.7352116933159918e-05,0.0001359599458507546,1.830378511256625e-05
