design,outcome,contrast,estimate,bootstrap_median,lo95,hi95
J-S14-D50,mean_total_shift,high-quality vs human-equivalent,5.791686594171924e-05,5.939062424955427e-05,-2.700029833021984e-05,0.0001423433369143582
J-S14-D50,mean_total_shift,low-quality vs human-equivalent,-3.542443516343918e-05,-3.807800763009142e-05,-0.00015802557652055542,7.573143751027978e-05
J-S14-D50,mean_signed_shift,labeled vs mean unlabeled,-0.008771784075657554,-0.00877393970046071,-0.00885753671165391,-0.008683648021867833
J-S14-D50,mean_signed_shift,high-quality vs low-quality (unlabeled),0.00012333514893950875,0.0001251630031017456,-7.811838055957545e-06,0.00025085531669100363
J-S14-D50,mean_signed_shift,high-quality vs human-equivalent,6.21428060385773e-05,5.7557671324148796e-05,-4.305286576577359e-05,0.0001986630004675882
J-S14-D50,mean_signed_shift,low-quality vs human-equivalent,-6.119234290093145e-05,-5.9574018402589954e-05,-0.00020130234536912131,8.103574830217703e-05
J-S14-D50,conversion_rate,labeled vs mean unlabeled,-0.00598933263138126,-0.005986959552496453,-0.006457263535770281,-0.005514046550026765
J-S14-D50,conversion_rate,high-quality vs low-quality (unlabeled),0.00041103025335021207,0.0004142636892451798,-9.725894604362726e-05,0.0009410461384369052
J-S14-D50,conversion_rate,high-quality vs human-equivalent,0.00039770075209742337,0.0003948571957357837,-0.00018741018845585015,0.0010132488966061936
J-S14-D50,conversion_rate,low-quality vs human-equivalent,-1.33295012527887e-05,-7.98462380929496e-06,-0.0005236627758446134,0.00048596781863431774
J-S14-D95,mean_total_shift,labeled vs mean unlabeled,-0.011970396232015235,-0.0119688273301066,-0.012064227044831247,-0.011866032389995543
J-S14-D95,mean_total_shift,high-quality vs low-quality (unlabeled),3.591941347703964e-05,3.8204973133906805e-05,-0.0001332721519949221,0.00022035466715596345
J-S14-D95,mean_total_shift,high-quality vs human-equivalent,-4.810666943716457e-06,-3.978284945638233e-07,-0.00017614991079200059,0.0001441713055387955
J-S14-D95,mean_total_shift,low-quality vs human-equivalent,-4.07300804207561e-05,-4.218427789978718e-05,-0.00017762477511989173,0.00010168181357447583
J-S14-D95,mean_signed_shift,labeled vs mean unlabeled,-0.016282862298871346,-0.016281523239110533,-0.016410148037794555,-0.0161618259582084
J-S14-D95,mean_signed_shift,high-quality vs low-quality (unlabeled),8.228031104687283e-06,1.4183731230004576e-05,-0.00021706582111570075,0.00021054005267724644
J-S14-D95,mean_signed_shift,high-quality vs human-equivalent,-3.413483478665463e-05,-2.8155952220176167e-05,-0.00022306988435893664,0.00014711386297681372
J-S14-D95,mean_signed_shift,low-quality vs human-equivalent,-4.2362865891341916e-05,-4.475544012130794e-05,-0.00021359349529905919,0.00015690044317080866
J-S14-D95,conversion_rate,labeled vs mean unlabeled,-0.01292693596691872,-0.012916799164493144,-0.013243097417369438,-0.012590386596715686
J-S14-D95,conversion_rate,high-quality vs low-quality (unlabeled),-0.00019094678664888232,-0.00013825859641889218,-0.0009066108456216535,0.0005764936280144763
J-S14-D95,conversion_rate,high-quality vs human-equivalent,0.00016462747841239356,0.00017264622844025482,-0.0005474294612896416,0.000985064988572009
J-S14-D95,conversion_rate,low-quality vs human-equivalent,0.0003555742650612759,0.00032609556907627416,-0.0003210416324236109,0.0011350960892651954
J-S18-D05,mean_total_shift,labeled vs mean unlabeled,-0.0007187446001553806,-0.0007197367794466517,-0.0007542226492004181,-0.0006830539928200935
J-S18-D05,mean_total_shift,high-quality vs low-quality (unlabeled),3.89943089983049e-05,3.665175861725578e-05,-1.620748489110854e-05,8.910577294034959e-05
J-S18-D05,mean_total_shift,high-quality vs human-equivalent,3.1910134162452426e-05,3.082465281495231e-05,-3.190997391415984e-05,9.020091149686194e-05
J-S18-D05,mean_total_shift,low-quality vs human-equivalent,-7.084174835852476e-06,-6.351654601302343e-06,-6.034615395393607e-05,4.850524734949363e-05
J-S18-D05,mean_signed_shift,labeled vs mean unlabeled,-0.0012101950911590988,-0.0012095619751626855,-0.001252128717288258,-0.001168951541710742
J-S18-D05,mean_signed_shift,high-quality vs low-quality (unlabeled),7.197475380834283e-05,7.161781378990737e-05,1.5024432831497862e-05,0.0001254496904493328
J-S18-D05,mean_signed_shift,high-quality vs human-equivalent,3.975566800030594e-05,3.8225731821723034e-05,-2.078630280321707e-05,9.792639574860463e-05
J-S18-D05,mean_signed_shift,low-quality vs human-equivalent,-3.221908580803689e-05,-3.268611656721712e-05,-9.309515210123154e-05,2.767350625632843e-05
J-S18-D05,conversion_rate,labeled vs mean unlabeled,-0.0006864317931646251,-0.0006826596550145326,-0.0008599228838906581,-0.0005096012044357169
J-S18-D05,conversion_rate,high-quality vs low-quality (unlabeled),-7.72286998513747e-05,-8.346317803891064e-05,-0.00034207702801722725,0.00019377579253526206
J-S18-D05,conversion_rate,high-quality vs human-equivalent,-3.2633572971296505e-05,-3.7020305544970206e-05,-0.000230740585297939,0.00015445229593518246
J-S18-D05,conversion_rate,low-quality vs human-equivalent,4.45951268800782e-05,4.138439784854859e-05,-0.00017583059452753886,0.0002835311643493705
J-S18-D50,mean_total_shift,labeled vs mean unlabeled,-0.007669602248569295,-0.007672922955803577,-0.007769456249148411,-0.007573553377485371
J-S18-D50,mean_total_shift,high-quality vs low-quality (unlabeled),0.00014676519409229094,0.0001452470068041313,-2.359464705506322e-05,0.00030780452000303337
J-S18-D50,mean_total_shift,high-quality vs human-equivalent,5.949716097382318e-05,6.086272384779948e-05,-0.00010419854659625485,0.00021662912891829051
J-S18-D50,mean_total_shift,low-quality vs human-equivalent,-8.726803311846776e-05,-8.289191362661347e-05,-0.00024232667713324356,5.987751901361786e-05
J-S18-D50,mean_signed_shift,labeled vs mean unlabeled,-0.011353084119490826,-0.01135510901145873,-0.011482527192111066,-0.011234815707781655
J-S18-D50,mean_signed_shift,high-quality vs low-quality (unlabeled),0.00016836323278453247,0.00016917881892437522,-3.345983819853983e-05,0.00035556318023463346
J-S18-D50,mean_signed_shift,high-quality vs human-equivalent,5.478869101240014e-05,5.5346920871189587e-05,-0.00011860550141826968,0.00020017567321574037
J-S18-D50,mean_signed_shift,low-quality vs human-equivalent,-0.00011357454177213233,-0.00011566743368955287,-0.00029179287459129915,6.832441049570788e-05
J-S18-D50,conversion_rate,labeled vs mean unlabeled,-0.008461157021868004,-0.008451705596239164,-0.008928647031956253,-0.007993244189460496
J-S18-D50,conversion_rate,high-quality vs low-quality (unlabeled),-5.0859172193606916e-05,-3.676836153508958e-05,-0.0006307354429165083,0.0005275856304823679
J-S18-D50,conversion_rate,high-quality vs human-equivalent,0.00012190998279180965,0.00010871731100043497,-0.0006069321921109321,0.000768538837742631
J-S18-D50,conversion_rate,low-quality vs human-equivalent,0.00017276915498541656,0.00013876912247243883,-0.0005017418651866862,0.0008208925150197389
J-S18-D95,mean_total_shift,labeled vs mean unlabeled,-0.015319593865358513,-0.015316989467898917,-0.015469395407223642,-0.01518869328855822
J-S18-D95,mean_total_shift,high-quality vs low-quality (unlabeled),0.00013584458756392415,0.0001382088878966667,-0.00011223082646289011,0.00039212639211352483
J-S18-D95,mean_total_shift,high-quality vs human-equivalent,-2.7026926212772584e-05,-2.472209562662947e-05,-0.00022753397134234952,0.00020287320198364325
J-S18-D95,mean_total_shift,low-quality vs human-equivalent,-0.00016287151377669673,-0.0001610001694728816,-0.0003630717935610726,2.352567983237192e-05
J-S18-D95,mean_signed_shift,labeled vs mean unlabeled,-0.021017426242385104,-0.021018547917714847,-0.021195764833337856,-0.020866396035131445
J-S18-D95,mean_signed_shift,high-quality vs low-quality (unlabeled),0.00021553250918640576,0.0002154939627505327,-1.2484800339280024e-05,0.00048625750641401855
J-S18-D95,mean_signed_shift,high-quality vs human-equivalent,8.665583194067406e-07,7.99811429846517e-06,-0.0002374633527793501,0.00023095406667302315
J-S18-D95,mean_signed_shift,low-quality vs human-equivalent,-0.00021466595086699902,-0.00021261384367515443,-0.0004630032935993643,5.837567000394045e-06
J-S18-D95,conversion_rate,labeled vs mean unlabeled,-0.019307297236314615,-0.019306153929897048,-0.01994529242133189,-0.018698203758125254
J-S18-D95,conversion_rate,high-quality vs low-quality (unlabeled),0.0005772341095490463,0.0005922463493080246,-0.00031995431988970403,0.0014347225493054618
J-S18-D95,conversion_rate,high-quality vs human-equivalent,0.0006933712657246766,0.0007031488080683282,-0.0001118898815043831,0.001579963727765475
J-S18-D95,conversion_rate,low-quality vs human-equivalent,0.00011613715617563025,0.00010740659714620487,-0.0006390809957176585,0.0009208157168666742
