design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,topology,main,0.00015469093059115925,3.7641819260964625e-05,0.2008883372474065,0.0005465372579648934
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,topology,shapley,0.0003140872122753537,7.642861822259139e-05,0.20706619386180874,0.0011096989532792933
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,message_condition,main,0.18483756802437892,0.04497757109367058,0.5518824669062566,0.653048095391812
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,message_condition,shapley,0.2310258145857102,0.05621681842638955,0.44045588553532683,0.8162354104423241
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,inoculation,main,0.0002172362109123026,5.2861316153754e-05,0.3873784776680595,0.0007675154748178788
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,inoculation,shapley,0.0003946347196728017,9.602869887236949e-05,0.36325789763783684,0.0013942806909459753
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,seeding_regime,main,0.7219693984610588,0.17568089806534318,0.2128421702562667,2.550784159495007
CS-45-R,mean_total_shift,0.24333565721735914,0.48053356228055916,3.5330917971485047,0.008510355597096883,seeding_regime,shapley,0.7682654634823417,0.18694638147387466,0.2144536453458804,2.7143524070619556
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,topology,main,0.0012737406471917325,0.00017742779289941452,0.9469036034080138,0.002576148053464831
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,topology,shapley,0.0017424825020601038,0.00024272195849916691,0.6576006904472634,0.003524181249750888
